title,company,value,deadline,status,category,url,tender_id
Cleaning and painting of Cooling Tower Enclosure Steel Frame-Consulting Services,BGIS - PWGSC RP1,,2026/06/19,10 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444053400564?origin=0,444053400564
Handrails and Railings-Site Related Renewal – Consulting Services,BGIS - PWGSC RP1,,2026/06/19,10 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444053280012?origin=0,444053280012
B530-00 Burnby Hospital Redevelopment Project Ph1 Post-construction Review,Fraser Health Authority,,2026/06/26,17 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444053492724?origin=0,444053492724
26-027 Hallberg Playground Design-Build RFP,Regional District of Nanaimo,,2026/07/06,27 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444051326897?origin=0,444051326897
Fish and Wildlife Habitat Restoration Services Pre-RFP Release Notice,BC Hydro and Power Authority,,2026/06/19,10 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444051014330?origin=0,444051014330
001NOI26EZ VGH Campus Infrastructure Planning Study,Fraser Health Authority,,2026/06/15,6 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444050947491?origin=0,444050947491
EZ899-270189 Lower Liard River Bridge Stringer Repairs,Department of Public Works and Government Services (PSPC),,2026/06/16,7 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/22785005582?origin=0,22785005582
Consulting Engineering Services for Parks Projects,Metro Vancouver (Greater Vancouver),,2026/07/15,36 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444049929406?origin=0,444049929406
Request for Proposals: Gates Lake Potable Water Project,Squamish-Lillooet Regional District,,2026/07/03,24 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444049467987?origin=0,444049467987
RFP - Engineering Services for Reservoir Design & Condition Assessment,Comox Valley Regional District,,2026/06/25,16 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444047023486?origin=0,444047023486
2026 North Peace Leisure Pool (NPLP) Boiler Replacement,City of Fort St John,,2026/06/16,7 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444042784698?origin=0,444042784698
Consultant for Road Revision,College of New Caledonia,,2026/07/02,23 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444042784677?origin=0,444042784677
Request for Pre-Qualification: PRJ25033-R1: Castlegar & District Arena and Walking Track,Regional District of Central Kootenay,,2026/06/26,17 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444042784665?origin=0,444042784665
EZ899-261706 - Transportation Engineering and Prime Consultant Services SOA,Department of Public Works and Government Services (PSPC),,2026/07/08,29 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/22785005058?origin=0,22785005058
RFP 5330-12-1003 Whistler Compost Facility Transformer and PLC Replacement,Resort Municipality of Whistler,,2026/06/30,21 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444041168563?origin=0,444041168563
RFP 419 - AE Consulting Services for Engineering Lab Wing (ELW) Fume Hood Expansion Study,University of Victoria,,2026/06/25,16 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444041048577?origin=0,444041048577
Water and Sewer Strategic Plans,City of Courtenay-BCBID,,2026/06/23,14 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444040630705?origin=0,444040630705
RFP No. 80.26.02-01 | Panorama Recreation Centre - Changeroom Renovation – Design Services,Capital Regional District,,2026/06/25,16 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444040585802?origin=0,444040585802
RFQ Mechanical Engineering Service,Legislative Assembly of British Columbia,,2031/05/21,4 year(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444036515984?origin=0,444036515984
RFPQ-Architectural Services - Standing Opportunity,Vancouver Island Health Authority,,2027/05/28,353 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444033909424?origin=0,444033909424
RFPQ-Mechanical Consulting Services - Standing Opportunity,Vancouver Island Health Authority,,2027/06/04,360 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444033909421?origin=0,444033909421
District of Tofino Library and Office Space Design,District of Tofino,,2026/06/25,16 day(s) left,Architecture & Engineering Services,https://www.merx.com/public/supplier/interception/view-notice/444033694370?origin=0,444033694370
