title,company,value,deadline,status,category,url,tender_id,source
370265 - Bulk De-Icing Road Salt Location: Kamloops | Posted: Today,City of Kamloops,,2026-07-10 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/80b0fcd0-65fd-11f1-bbd0-c9f779246a0e?utm_source=scip,2026-003719,bidcentral
Roof Replacement Lions Community Hall Location: West Kelowna | Posted: 1 days ago,City of West Kelowna,,2026-07-09 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/f13fd45a-3720-49f9-ae9a-ba0a5e862681?utm_source=scip,2026-003693,bidcentral
Village of Lumby - Bessette Creek Flood Mitigation Works Location: Lumby | Posted: 1 days ago,Village of Lumby,,2026-06-26 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/8bf5d6b2-ebad-48da-b412-8a470262a158?utm_source=scip,2026-003689,bidcentral
UBCO CCS Building Lower Roof Replacement. FOR INFORMATION ONLY Location: Okanagan | Posted: 1 days ago,University of British Columbia - Infrastructure Development,,2026-07-08 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/a03020a0-6525-11f1-8bdf-a565e4731ae9?utm_source=scip,2026-003682,bidcentral
"RC27230-004 - Rail Trail Major Culvert Risk Mitigation - Weird Creek, Beaverdell Location: Central Okanagan | Posted: 2 days ago",Ministry of Forests,,2026-07-13 10:00,Open,Commercial,https://secure.bidcentral.ca/project/info/19d6e0f0-6450-11f1-a759-a5371af7cb57?utm_source=scip,2026-003636,bidcentral
2026-RFP-16 Streetlight Master Plan Location: Penticton | Posted: 2 days ago,City of Penticton,,2026-07-09 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/9497b0d0-644b-11f1-a759-a5371af7cb57?utm_source=scip,2026-003634,bidcentral
T26039 - Playground Supply and Installation - Sun Peaks School Location: Sun Peaks | Posted: 3 days ago,School District 73 - Kamloops/Thompson,,2026-06-30 11:00,Open,Commercial,https://secure.bidcentral.ca/project/info/51fc009d-19b7-4f4c-aab3-ec6d8ba95c21?utm_source=scip,2026-003631,bidcentral
Highway 3 Walker Over Goat River Bridge No. 615 and Approaches. MoT Project No.: 25558-0000 Location: Arrow Creek | Posted: 3 days ago,Ministry of Transportation,,2026-07-09 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/a61cbbc9-ac56-4778-ac8b-4ff9d7fe7909?utm_source=scip,2026-003625,bidcentral
ITB KBH ICU Roof Replacement - Section F - Roofing Contractor Services Location: Trail | Posted: 3 days ago,Interior Health Authority,,2026-07-06 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/30ce0e81-bc20-4708-918c-b857dd9ee8cb?utm_source=scip,2026-003623,bidcentral
2026 Low Slope Roof Replacement Charles Bloom Secondary School.,School District #22 (Vernon),,2026-06-24 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/06c48fc0-6398-11f1-94c4-97bf19b5895a?utm_source=scip,2026-003613,bidcentral
SD 22 - 2026 Low slope Roof Replacement Kalamalka Secondary School.,School District #22 (Vernon),,2026-06-24 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/aafdccc0-6396-11f1-a17c-690685418775?utm_source=scip,2026-003612,bidcentral
Kalavista Tennis Court Resurfacing. RFQ-2026-13 Location: Coldstream | Posted: 4 days ago,District of Coldstream,,2026-06-17 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/390ae440-8cd7-4419-aa96-5c127ff59baf?utm_source=scip,2026-003605,bidcentral
12547 - Construction - Hollywood Road Extension Location: Kelowna | Posted: 4 days ago,City of Kelowna,,2026-07-13 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/1e664195-fe92-4c71-8a8d-5b446a7a919b?utm_source=scip,2026-003604,bidcentral
Sewer Main Flushing & Associated Services RFP Location: Interior BC | Posted: 6 days ago,Interior Purchasing Office,,2026-06-25 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/2f6d8ee8-625e-48d6-89fd-fb034aabcb42?utm_source=scip,2026-003591,bidcentral
ITT 2026 005- OKM Mechanical Upgrade Location: Kelowna | Posted: 6 days ago,School District #23 - Central Okanagan,,2026-06-24 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/699b0830-6128-11f1-920b-11f728b4d8f2?utm_source=scip,2026-003579,bidcentral
Bulk Water Station Installation. Project No. 9772-010-00 Location: Sparwood | Posted: 6 days ago,District of Sparwood,,2026-06-25 13:00,Open,Commercial,https://secure.bidcentral.ca/project/info/52b4f5a0-6113-11f1-97e0-2b4c0bd553f1?utm_source=scip,2026-003574,bidcentral
381527 - NRFP Sanitary Sewer and Flow Monitoring Services Location: Kamloops | Posted: 6 days ago,City of Kamloops - Purchasing Dept.,,2026-07-20 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/e9e73970-610d-11f1-97e0-2b4c0bd553f1?utm_source=scip,2026-003571,bidcentral
Lil'wat Nation IR6 Septic Tank Upgrading Ph.3 - Upgrading/Replacement of 146 Septic Tanks Location: Mount Currie | Posted: 6 days ago,The Lil'wat Nation,,2026-06-24 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/1e9d6ca0-7b90-4719-9444-8567cdd35fc5?utm_source=scip,2026-003569,bidcentral
New Sidewalks Salmo Parks Location: Salmo | Posted: 7 days ago,Village of Salmo,,2026-06-30 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/d1c23620-6067-11f1-a73e-3d8e79816932?utm_source=scip,2026-003548,bidcentral
EN27474037 - Major Works – Bridge Installation at K702A Jackpine FSR Okanagan Shuswap District Location: Central Okanagan | Posted: 7 days ago,Ministry of Forests - Southern Engineering Group,,2026-08-10 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/94acd6e0-6063-11f1-a4e1-7faba9b761bb?utm_source=scip,2026-003546,bidcentral
RFPQ General Contractor Services Location: Interior | Posted: 8 days ago,Interior Health Authority,,2027-05-31 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/49c0bff5-b3f4-4fd2-b091-90331e9048ab?utm_source=scip,2026-003526,bidcentral
W.L Seaton HVAC Upgrade - Phase 1 Location: Vernon | Posted: 8 days ago,School District #22 (Vernon),,2026-06-24 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/458ceff0-5f9b-11f1-9059-2b8736a42059?utm_source=scip,2026-003496,bidcentral
Phase 2 Cache Creek Channel Reconstruction Project – Building Demolition. MoT Project No.: 26527-0000 Location: Cache Creek | Posted: 9 days ago,Ministry of Transportation and Transit,,2026-06-30 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/f6259c50-5f6d-11f1-a151-c11367543633?utm_source=scip,2026-003489,bidcentral
26-23-INF - Parkade Renewal Location: Vernon | Posted: 10 days ago,City of Vernon,,2026-06-30 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/af9ebe9c-7bdd-454f-a57a-f51f74cf2871?utm_source=scip,2026-003460,bidcentral
2026010271 - UBCO - Annual Generator Servicing Location: Okanagan | Posted: 10 days ago,University of British Columbia - Infrastructure Development,,2026-07-10 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/257ffa5d-6bbc-4727-aa78-71dec1f46f76?utm_source=scip,2026-003447,bidcentral
381989 - NRFP Structural Engineering Services for Bridges and Transportation Structures Location: Kamloops | Posted: 10 days ago,City of Kamloops - Purchasing Dept,,2026-07-03 14:00,Open,Commercial,https://secure.bidcentral.ca/project/info/e36492e3-f584-421a-90cf-96fd529e0fde?utm_source=scip,2026-003442,bidcentral
