winner_company,contract_value,date,tender_title,url
Houle Electric Ltd,"CAD 273,936.60",2026/05/22,"Electrical Substation Upgrades – Quinsam Hatchery, BC",https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-182-80490388
Stone Pacific Contracting Ltd.,"CAD 615,038.37",2026/05/08,"Transportation Upgrades, Fort Rodd Hill National Historic Site",https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-447-71249086
Entity Mechanical Ltd.,"CAD 498,750.00",2026/04/21,Roof Replacement - Pesticide Building AAFC Agassiz Research and Development Centre,https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-907-26550962
Cascadia West Contracting Ltd.,"CAD 303,332.40",2025/12/22,"Rehabilitation of Existing Washrooms, DFO Sidney Hangar Building, British Columbia",https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-854-61758855
SVEMY Construction Ltd.,"CAD 2,826,600.00",2026/03/05,"Triplex Construction, Yoho National Park",https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-992-6708580
Online Constructors Ltd.,"CAD 169,029.00",2026/02/24,Lund Float Reconstruction,https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-192-16075003
Oxford Construction Ltd.,"CAD 557,145.75",2026/02/13,"Shellfish Water Classification Program Lab Upgrade, North Vancouver, British Columbia",https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-172-78512094
Alpha Roofing & Cladding Inc.,"CAD 196,965.02",2026/02/04,VIC – Roof Replacement,https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-262-44605458
Power-Link Technologies Ltd.,,2026/01/28,Greenhouse Controls System Upgrade - Agassiz Research and Development Center,https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-808-23552123
Seismic 2000 Construction Ltd.,"CAD 2,437,548.75",2026/01/22,"Kootenay River Bridge Rehabilitation, Kootenay National Park",https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-272-44043025
Houle Electric Limited,"CAD 629,648.25",2026/01/19,VIC01 - BAS Upgrade,https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-876-509443
Bartram Construction Inc.,"CAD 203,902.13",2026/01/16,"Construction residence Pulteney net zero, BC",https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-225-30356565
Ledcor Construction Limited,"CAD 16,577,400.00",2026/01/12,Princeton Detachment Replacement,https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-171-77965597
COLE MARTIN-RIVERSIDE SOLUTIONS,"CAD 145,068.00",2025/12/12,"Weir Rebuild - Water Survey of Canada Station at Two Forty Creek (08NM240) and Two Forty-One Creek (08NM241) near Penticton, British Columbia",https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-471-63382778
Blue Water Systems Ltd.,"CAD 331,143.75",2025/12/09,"Fanny Bay Float Reconstruction, British Columbia",https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-222-29283534
Cube Construction Ltd,"CAD 2,956,575.30",2025/06/26,"Stage 2 - Rogers Pass Discovery Center Stabilization, Glacier National Park.",https://canadabuys.canada.ca/en/tender-opportunities/award-notice/cb-600-74614154
