job_title,company,location,salary,date,url
construction helper,PAMIA CONSTRUCTION LTD.,Surrey (BC),$25.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49589903
construction helper,APCON CONSTRUCTION GROUP OF COMPANIES LTD.,Surrey (BC),$25.00 hourly,"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49637871
construction helper,SS Sidhu Construction Ltd.,Kamloops (BC),$27.00 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49597372
construction labourer,HI-RISE CONSTRUCTION LTD,Langley (BC),$28.85 hourly,"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49582555
construction helper,JAP Construction Ltd,Surrey (BC),$29.00 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49593631
construction labourer,ABCE Construction,Richmond (BC),$25.00 to $26.00 hourly (to be negotiated),"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49635858
construction helper,REDFLY CONSTRUCTION LTD.,Surrey (BC),$30.00 to $37.00 hourly (to be negotiated),"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49606845
construction helper,D3M Construction,Surrey (BC),$25.00 hourly,"May 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49614119
construction helper,HS TATLA CONSTRUCTION LTD.,Kelowna (BC),$27.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49590994
construction labourer,777 CONSTRUCTION LTD.,Kelowna (BC),$36.60 hourly,"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49608590
construction labourer,777 CONSTRUCTION LTD.,Surrey (BC),$36.60 hourly,"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49608592
construction helper,DIAMONDCUT CUTTING AND CORING LTD.,Surrey (BC),$26.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652871?source=searchresults
construction helper,Skystar Drywall Ltd.,Kelowna (BC),$25.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652863?source=searchresults
construction helper,INAYAT CONSTRUCTION LTD.,Surrey (BC),$25.00 hourly,"May 22, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49566548?source=searchresults
construction trades helper,PSR Construction Ltd.,Abbotsford (BC),$26.00 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49645011?source=searchresults
construction worker,Hefty Construction Ltd.,Victoria (BC),$28.00 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49597322?source=searchresults
construction helper,skyyj construction ltd,Surrey (BC),$25.15 hourly,"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49552728?source=searchresults
construction helper,Golden Uprising Construction Ltd.,Victoria (BC),$25.00 hourly,"May 21, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49559356?source=searchresults
construction labourer,Bole Construction Inc.,Surrey (BC),$25.00 to $28.00 hourly,"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49644728?source=searchresults
construction helper,BC Legacy Consulting Group Inc,Surrey (BC),$25.00 hourly,"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49635151?source=searchresults
construction helper,Elite Paving Ltd.,Delta (BC),$25.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49651708?source=searchresults
construction helper,J.S CHEEMA FINISHING CARPENTRY LTD,Surrey (BC),$29.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49650669?source=searchresults
construction labourer,Steel horse reinforcing,Armstrong (BC),$29.00 hourly,"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49636263?source=searchresults
construction labourer,System One Floor Solutions Inc,Langley (BC),$25.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652525?source=searchresults
construction helper,KHANOURI HOMES LTD.,Williams Lake (BC),$29.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49650505?source=searchresults
construction labourer,Weninger Construction & Design Ltd,Kelowna (BC),$20.00 to $29.00 hourly,"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49637085?source=searchresults
construction labourer,DUCTPRO MECHANICAL LTD.,Surrey (BC),$25.10 hourly,"June 07, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49668186?source=searchresults
construction helper,Megacity Construction Ltd.,Langford (BC),$25.00 hourly,"May 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49611628?source=searchresults
construction labourer,A & J Sekhon Construction Ltd,Surrey (BC),$25.00 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49545963?source=searchresults
construction labourer,Infracon Construction Inc.,Kamloops (BC),$25.00 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49658100?source=searchresults
construction labourer,Rev'd Concrete Pumping Ltd,Revelstoke (BC),$27.00 hourly,"May 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49613170?source=searchresults
construction helper,Trine Developments Ltd.,Richmond (BC),$25.50 hourly,"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49605506?source=searchresults
construction helper,MK ROOFING LTD.,Surrey (BC),$25.25 hourly,"May 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49613832?source=searchresults
construction helper,NIRVAIR 123 ENTERPRISE LTD.,Kelowna (BC),$26.25 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49598289?source=searchresults
construction labourer,TOPLINE PACIFIC MECHANICAL LTD,Abbotsford (BC),$25.10 hourly,"May 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49615004?source=searchresults
construction helper,Wescan Homes,Kelowna (BC),$27.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49591013?source=searchresults
"estimator, construction",Pickard Construction Ltd,Errington (BC),$42.26 hourly,"May 22, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49565799?source=searchresults
construction worker,Golden Framing Inc,Surrey (BC),$36.60 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49599038?source=searchresults
construction helper,6 AM Construction Ltd,Langford (BC),$25.00 hourly,"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49607164?source=searchresults
construction helper,Golden Glass & Shower Doors Ltd,Surrey (BC),$25.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652542?source=searchresults
construction worker,KOTDATTA FRAMING LTD.,Delta (BC),$25.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652839?source=searchresults
construction helper,Stelco Building Contractors Ltd,Surrey (BC),$25.00 hourly,"June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49628238?source=searchresults
general construction labourer,M. BROTHER CONSTRUCTION,Coldstream (BC),$27.00 hourly,"May 22, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49566440?source=searchresults
construction labourer,777 Construction Ltd.,Surrey (BC),$36.60 hourly,"May 15, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49523680?source=searchresults
construction labourer,JJM Drywall LTD.,Nanaimo (BC),$25.00 hourly,"May 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49613814?source=searchresults
construction superintendent,Axiom Builders Inc.,Vancouver (BC),"$155,000.00 annually","May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49591170?source=searchresults
construction labourer,MHAWK HOME SOLUTIONS INC.,Abbotsford (BC),$25.00 hourly,"June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49627845?source=searchresults
construction helper,Dhillon Brothers Paving Ltd.,Richmond (BC),$36.60 hourly,"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49585403?source=searchresults
construction labourer,Core Drywall Ltd.,Surrey (BC),$25.10 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49589868?source=searchresults
construction worker,O Canada Drywall Ltd,Surrey (BC),$36.60 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652541?source=searchresults
construction helper,POINT MARK CONSTRUCTION LTD,Surrey (BC),$25.00 hourly,"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49584562?source=searchresults
construction helper,Brar taping & Drywall Ltd.,Nelson (BC),$27.00 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49660660?source=searchresults
construction helper,VIET HOME RENOVATIONS LTD.,Nanaimo (BC),$25.00 to $27.00 hourly (to be negotiated),"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49599829?source=searchresults
construction manager,DIAMONDCUT CUTTING AND CORING LTD.,Surrey (BC),$38.50 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652513?source=searchresults
construction helper,Shine Construction Ltd,Surrey (BC),$25.00 hourly,"May 14, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49514911?source=searchresults
"helper, construction",Gorayaview Construction Ltd,Chilliwack (BC),$25.25 hourly,"May 15, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49521284?source=searchresults
construction helper,I-M ROOFING LTD.,Surrey (BC),$25.00 hourly,"June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49630235?source=searchresults
construction manager,Zenith Commissioning Consulting Ltd,Vancouver (BC),"$125,000.00 annually","May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49583104?source=searchresults
construction helper,FIRDAUS ENTERPRISE LTD.,Kelowna (BC),$27.00 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49598258?source=searchresults
construction worker,Fraser Valley Demolition,Abbotsford (BC),$25.00 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49659540?source=searchresults
construction helper,Nihal Amsan Construction Ltd,Kamloops (BC),$36.60 hourly,"May 15, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49521786?source=searchresults
construction helper,Quick Work Construction Ltd,Surrey (BC),$25.00 hourly,"May 16, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49528844?source=searchresults
construction helper,S & D Concrete and Pumping Ltd.,Aldergrove (BC),$36.60 hourly,"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49552344?source=searchresults
construction trades helper,Elite Formwork Inc.,Kelowna (BC),$27.00 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49660673?source=searchresults
construction manager,MKB Ventures Ltd.,Surrey (BC),$52.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49655722?source=searchresults
construction labourer and helper,Polycrete Restorations Ltd.,Coquitlam (BC),$25.00 to $32.00 hourly (to be negotiated),"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49644602?source=searchresults
construction helper,JT Drywall Ltd.,Surrey (BC),$28.00 hourly,"May 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49613138?source=searchresults
construction labourer,Rapid Pro Mechanical Ltd.,Abbotsford (BC),$25.10 hourly,"May 22, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49563610?source=searchresults
construction labourer,ACS CONTRACTING LTD,Coquitlam (BC),$20.00 to $24.00 hourly (to be negotiated),"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49581121?source=searchresults
construction estimator,Pacific Art Stone,Surrey (BC),$40.50 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49655773?source=searchresults
construction labourer,GRD CONSTRUCTION LTD,Surrey (BC),$18.25 hourly,"May 11, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49494542?source=searchresults
housing construction manager,Cowichan Tribes,Duncan (BC),$52.73 to $56.48 hourly (to be negotiated),"May 28, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49605847?source=searchresults
construction labourer,Solid Ground Earthworks Ltd.,Burnaby (BC),$27.00 hourly,"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49550343?source=searchresults
construction helper,B4U Construction Ltd.,Surrey (BC),$36.60 hourly,"May 06, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49466438?source=searchresults
construction labourer and helper,WEST DEMOLITION SERVICES LTD.,Surrey (BC),$25.00 hourly,"June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49629325?source=searchresults
"site superintendent, construction",Miclex Construction Inc.,Cranbrook (BC),"$50,000.00 to $90,000.00 annually (to be negotiated)","May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49580091?source=searchresults
"site superintendent, construction",Miclex Construction Inc.,Chilliwack (BC),"$50,000.00 to $90,000.00 annually (to be negotiated)","May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49580060?source=searchresults
construction electrician helper,Smartwork Electrical Ltd.,Surrey (BC),$25.50 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49659526?source=searchresults
construction helper,City Line Investments Ltd,Surrey (BC),$25.00 hourly,"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49550434?source=searchresults
construction labourer,Boardworks Contracting Ltd,Vancouver (BC),$20.00 to $30.00 hourly,"May 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49609132?source=searchresults
construction site manager,Greycor Projects Limited,Surrey (BC),$65.00 hourly,"June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49627216?source=searchresults
construction project coordinator,Raincity Management Corp.,Langley (BC),$52.00 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49646585?source=searchresults
construction labourer,777 Construction Ltd.,Kelowna (BC),$36.60 hourly,"May 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49461513?source=searchresults
"site manager, construction",MNG Builders Inc.,West Vancouver (BC),$51.95 hourly,"June 05, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49661698?source=searchresults
construction manager,VIP Window Installations LTD,Langley (BC),$52.00 hourly,"May 21, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49555915?source=searchresults
