external_id,address,permit_type,project_value,applicant,issue_date,description,source,city
23-014715-000-00 B7,6221 130B St,Renovation,62000,,2026-01-02,Renovation / Single Family,surrey,Surrey
25-115088-000-00 B7,6056 164 St,S/S Created in Finished Area,21360,,2026-01-06,S/S Created in Finished Area / Single Family (Secondary Suite),surrey,Surrey
25-129222-000-00 B7,15292 94 Ave,Fire Damage Repair,15000,,2026-01-06,Fire Damage Repair / Single Family,surrey,Surrey
25-133682-000-00 B7,17412 103B Ave,Solar Panel Installation,15146,,2026-01-06,Solar Panel Installation / Single Family,surrey,Surrey
25-128046-000-00 B7,5775 126 St,New,80000,,2026-01-07,New / Swimming Pool,surrey,Surrey
25-082545-000-00 B7,19122 61A Ave,New,800000,,2026-01-08,New / Duplex,surrey,Surrey
25-085458-000-00 B7,8930 132 St,New,881295,,2026-01-08,New / Single Family (Secondary Suite),surrey,Surrey
25-085459-000-00 B7,8930 132 St,New,150000,,2026-01-08,New / Garden Suite,surrey,Surrey
25-088981-000-00 B7,4373 152 St,New,200000,,2026-01-08,New / Barn,surrey,Surrey
25-122763-000-00 B7,3641 159A St,New,1000000,"Oberizon Homes White Rock, British Columbia, Canada",2026-01-08,New / Single Family,surrey,Surrey
24-051354-001-01 B7DD,5968 127A St,New,100775,"Builden Construction Unit 508 13761 96 Ave Surrey, British Columbia, Canada, V3V 0E8",2026-01-09,New / Coach House / Garage,surrey,Surrey
25-116642-000-00 B7DD,10031 173 St,New,807580,,2026-01-09,New / Single Family (Secondary Suite),surrey,Surrey
25-120953-000-00 B7,15092 19A Ave,Renovation,80000,,2026-01-09,Renovation / Single Family,surrey,Surrey
25-104530-000-00 B7,5924 169 St,Addition,350000,,2026-01-12,Addition / Single Family,surrey,Surrey
25-116642-001-00 B7DD,10031 173 St,New,100125,,2026-01-12,New / Garden Suite,surrey,Surrey
25-118686-000-01 B7,6837 Kilburn Pl,New,92250,,2026-01-12,New / Garden Suite,surrey,Surrey
24-068638-000-00 B7,18030 60 Ave,New,1000000,,2026-01-13,New / Single Family (Secondary Suite),surrey,Surrey
24-068640-000-00 B7,18030 60 Ave,New,120000,,2026-01-13,New / Garden Suite,surrey,Surrey
25-079647-000-00 B7DD,68 Peace Park Dr,New,750000,,2026-01-13,New / Single Family (Secondary Suite),surrey,Surrey
25-129364-000-00 B7,16919 60 Ave,S/S Created in Finished Area,20000,,2026-01-13,S/S Created in Finished Area / Single Family,surrey,Surrey
25-094407-000-00 B7,5487 182 St,New,1200000,,2026-01-14,New / Single Family (Secondary Suite),surrey,Surrey
25-117337-000-00 B7,8649 187 St,Fire Damage Repair,8500,,2026-01-14,Fire Damage Repair / Garage,surrey,Surrey
24-055120-000-00 B7DD,16695 15A Ave,New,550000,,2026-01-15,New / Single Family (Secondary Suite),surrey,Surrey
24-055120-001-00 B7DD,16695 15A Ave,New,50000,,2026-01-15,New / Garage,surrey,Surrey
25-123633-000-00 B7,13038 69A Ave,New,825000,,2026-01-15,New / Single Family (Secondary Suite),surrey,Surrey
